nohup: ignoring input
/home/gaojinghan/anaconda3/envs/ft/lib/python3.7/site-packages/torchvision/transforms/transforms.py:187: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch 0 | Batch 1130/2400 | Loss 4.189091
Epoch 0 | Batch 1140/2400 | Loss 4.187092
Epoch 0 | Batch 1150/2400 | Loss 4.185807
Epoch 0 | Batch 1160/2400 | Loss 4.183985
Epoch 0 | Batch 1170/2400 | Loss 4.182498
Epoch 0 | Batch 1180/2400 | Loss 4.180560
Epoch 0 | Batch 1190/2400 | Loss 4.179078
Epoch 0 | Batch 1200/2400 | Loss 4.177035
Epoch 0 | Batch 1210/2400 | Loss 4.175004
Epoch 0 | Batch 1220/2400 | Loss 4.173318
Epoch 0 | Batch 1230/2400 | Loss 4.171741
Epoch 0 | Batch 1240/2400 | Loss 4.170277
Epoch 0 | Batch 1250/2400 | Loss 4.168632
Epoch 0 | Batch 1260/2400 | Loss 4.167077
Epoch 0 | Batch 1270/2400 | Loss 4.165383
Epoch 0 | Batch 1280/2400 | Loss 4.163523
Epoch 0 | Batch 1290/2400 | Loss 4.161949
Epoch 0 | Batch 1300/2400 | Loss 4.160805
Epoch 0 | Batch 1310/2400 | Loss 4.159425
Epoch 0 | Batch 1320/2400 | Loss 4.158345
Epoch 0 | Batch 1330/2400 | Loss 4.157177
Epoch 0 | Batch 1340/2400 | Loss 4.155811
Epoch 0 | Batch 1350/2400 | Loss 4.154377
Epoch 0 | Batch 1360/2400 | Loss 4.152818
Epoch 0 | Batch 1370/2400 | Loss 4.151350
Epoch 0 | Batch 1380/2400 | Loss 4.149776
Epoch 0 | Batch 1390/2400 | Loss 4.148246
Epoch 0 | Batch 1400/2400 | Loss 4.146423
Epoch 0 | Batch 1410/2400 | Loss 4.144834
Epoch 0 | Batch 1420/2400 | Loss 4.142676
Epoch 0 | Batch 1430/2400 | Loss 4.141409
Epoch 0 | Batch 1440/2400 | Loss 4.140368
Epoch 0 | Batch 1450/2400 | Loss 4.139017
Epoch 0 | Batch 1460/2400 | Loss 4.137803
Epoch 0 | Batch 1470/2400 | Loss 4.136119
Epoch 0 | Batch 1480/2400 | Loss 4.134467
Epoch 0 | Batch 1490/2400 | Loss 4.133183
Epoch 0 | Batch 1500/2400 | Loss 4.131385
Epoch 0 | Batch 1510/2400 | Loss 4.130066
Epoch 0 | Batch 1520/2400 | Loss 4.128822
Epoch 0 | Batch 1530/2400 | Loss 4.127571
Epoch 0 | Batch 1540/2400 | Loss 4.125770
Epoch 0 | Batch 1550/2400 | Loss 4.124413
Epoch 0 | Batch 1560/2400 | Loss 4.123048
Epoch 0 | Batch 1570/2400 | Loss 4.121899
Epoch 0 | Batch 1580/2400 | Loss 4.120494
Epoch 0 | Batch 1590/2400 | Loss 4.119199
Epoch 0 | Batch 1600/2400 | Loss 4.117588
Epoch 0 | Batch 1610/2400 | Loss 4.116244
Epoch 0 | Batch 1620/2400 | Loss 4.114837
Epoch 0 | Batch 1630/2400 | Loss 4.113122
Epoch 0 | Batch 1640/2400 | Loss 4.112038
Epoch 0 | Batch 1650/2400 | Loss 4.110614
Epoch 0 | Batch 1660/2400 | Loss 4.109505
Epoch 0 | Batch 1670/2400 | Loss 4.108455
Epoch 0 | Batch 1680/2400 | Loss 4.107472
Epoch 0 | Batch 1690/2400 | Loss 4.106219
Epoch 0 | Batch 1700/2400 | Loss 4.104653
Epoch 0 | Batch 1710/2400 | Loss 4.103417
Epoch 0 | Batch 1720/2400 | Loss 4.102054
Epoch 0 | Batch 1730/2400 | Loss 4.100782
Epoch 0 | Batch 1740/2400 | Loss 4.099722
Epoch 0 | Batch 1750/2400 | Loss 4.098569
Epoch 0 | Batch 1760/2400 | Loss 4.096875
Epoch 0 | Batch 1770/2400 | Loss 4.095427
Epoch 0 | Batch 1780/2400 | Loss 4.093754
Epoch 0 | Batch 1790/2400 | Loss 4.092523
Epoch 0 | Batch 1800/2400 | Loss 4.091603
Epoch 0 | Batch 1810/2400 | Loss 4.090767
Epoch 0 | Batch 1820/2400 | Loss 4.089635
Epoch 0 | Batch 1830/2400 | Loss 4.088332
Epoch 0 | Batch 1840/2400 | Loss 4.087146
Epoch 0 | Batch 1850/2400 | Loss 4.085785
Epoch 0 | Batch 1860/2400 | Loss 4.084454
Epoch 0 | Batch 1870/2400 | Loss 4.083131
Epoch 0 | Batch 1880/2400 | Loss 4.081906
Epoch 0 | Batch 1890/2400 | Loss 4.080413
Epoch 0 | Batch 1900/2400 | Loss 4.079071
Epoch 0 | Batch 1910/2400 | Loss 4.077944
Epoch 0 | Batch 1920/2400 | Loss 4.076834
Epoch 0 | Batch 1930/2400 | Loss 4.075592
Epoch 0 | Batch 1940/2400 | Loss 4.074571
Epoch 0 | Batch 1950/2400 | Loss 4.073457
Epoch 0 | Batch 1960/2400 | Loss 4.072129
Epoch 0 | Batch 1970/2400 | Loss 4.070922
Epoch 0 | Batch 1980/2400 | Loss 4.069857
Epoch 0 | Batch 1990/2400 | Loss 4.068917
Epoch 0 | Batch 2000/2400 | Loss 4.067508
Epoch 0 | Batch 2010/2400 | Loss 4.066380
Epoch 0 | Batch 2020/2400 | Loss 4.065553
Epoch 0 | Batch 2030/2400 | Loss 4.064295
Epoch 0 | Batch 2040/2400 | Loss 4.063142
Epoch 0 | Batch 2050/2400 | Loss 4.062221
Epoch 0 | Batch 2060/2400 | Loss 4.061334
Epoch 0 | Batch 2070/2400 | Loss 4.060098
Epoch 0 | Batch 2080/2400 | Loss 4.058691
Epoch 0 | Batch 2090/2400 | Loss 4.057560
Epoch 0 | Batch 2100/2400 | Loss 4.056620
Epoch 0 | Batch 2110/2400 | Loss 4.055876
Epoch 0 | Batch 2120/2400 | Loss 4.054645
Epoch 0 | Batch 2130/2400 | Loss 4.053492
Epoch 0 | Batch 2140/2400 | Loss 4.052230
Epoch 0 | Batch 2150/2400 | Loss 4.050883
Epoch 0 | Batch 2160/2400 | Loss 4.049765
Epoch 0 | Batch 2170/2400 | Loss 4.048587
Epoch 0 | Batch 2180/2400 | Loss 4.047643
Epoch 0 | Batch 2190/2400 | Loss 4.046393
Epoch 0 | Batch 2200/2400 | Loss 4.045408
Epoch 0 | Batch 2210/2400 | Loss 4.044351
Epoch 0 | Batch 2220/2400 | Loss 4.043401
Epoch 0 | Batch 2230/2400 | Loss 4.042249
Epoch 0 | Batch 2240/2400 | Loss 4.041177
Epoch 0 | Batch 2250/2400 | Loss 4.040237
Epoch 0 | Batch 2260/2400 | Loss 4.038934
Epoch 0 | Batch 2270/2400 | Loss 4.038011
Epoch 0 | Batch 2280/2400 | Loss 4.036866
Epoch 0 | Batch 2290/2400 | Loss 4.035790
Epoch 0 | Batch 2300/2400 | Loss 4.034520
Epoch 0 | Batch 2310/2400 | Loss 4.033753
Epoch 0 | Batch 2320/2400 | Loss 4.032722
Epoch 0 | Batch 2330/2400 | Loss 4.031546
Epoch 0 | Batch 2340/2400 | Loss 4.030713
Epoch 0 | Batch 2350/2400 | Loss 4.029790
Epoch 0 | Batch 2360/2400 | Loss 4.028846
Epoch 0 | Batch 2370/2400 | Loss 4.027864
Epoch 0 | Batch 2380/2400 | Loss 4.026705
Epoch 0 | Batch 2390/2400 | Loss 4.025817
Epoch 1 | Batch 0/2400 | Loss 3.749577
Epoch 1 | Batch 10/2400 | Loss 3.856402
Epoch 1 | Batch 20/2400 | Loss 3.802515
Epoch 1 | Batch 30/2400 | Loss 3.813895
Epoch 1 | Batch 40/2400 | Loss 3.808364
Epoch 1 | Batch 50/2400 | Loss 3.808148
Epoch 1 | Batch 60/2400 | Loss 3.808967
Epoch 1 | Batch 70/2400 | Loss 3.792916
Epoch 1 | Batch 80/2400 | Loss 3.783808
Epoch 1 | Batch 90/2400 | Loss 3.777057
Epoch 1 | Batch 100/2400 | Loss 3.773669
Epoch 1 | Batch 110/2400 | Loss 3.772946
Epoch 1 | Batch 120/2400 | Loss 3.775366
Epoch 1 | Batch 130/2400 | Loss 3.772347
Epoch 1 | Batch 140/2400 | Loss 3.768327
Epoch 1 | Batch 150/2400 | Loss 3.766904
Epoch 1 | Batch 160/2400 | Loss 3.769225
Epoch 1 | Batch 170/2400 | Loss 3.766130
Epoch 1 | Batch 180/2400 | Loss 3.765260
Epoch 1 | Batch 190/2400 | Loss 3.763369
Epoch 1 | Batch 200/2400 | Loss 3.759963
Epoch 1 | Batch 210/2400 | Loss 3.757213
Epoch 1 | Batch 220/2400 | Loss 3.755492
Epoch 1 | Batch 230/2400 | Loss 3.756436
Epoch 1 | Batch 240/2400 | Loss 3.752804
Epoch 1 | Batch 250/2400 | Loss 3.754563
Epoch 1 | Batch 260/2400 | Loss 3.754817
Epoch 1 | Batch 270/2400 | Loss 3.756429
Epoch 1 | Batch 280/2400 | Loss 3.756166
Epoch 1 | Batch 290/2400 | Loss 3.756089
Epoch 1 | Batch 300/2400 | Loss 3.755396
Epoch 1 | Batch 310/2400 | Loss 3.755384
Epoch 1 | Batch 320/2400 | Loss 3.756350
Epoch 1 | Batch 330/2400 | Loss 3.757935
Epoch 1 | Batch 340/2400 | Loss 3.755258
Epoch 1 | Batch 350/2400 | Loss 3.755378
Epoch 1 | Batch 360/2400 | Loss 3.753519
Epoch 1 | Batch 370/2400 | Loss 3.751699
Epoch 1 | Batch 380/2400 | Loss 3.751036
Epoch 1 | Batch 390/2400 | Loss 3.751229
Epoch 1 | Batch 400/2400 | Loss 3.750099
Epoch 1 | Batch 410/2400 | Loss 3.749783
Epoch 1 | Batch 420/2400 | Loss 3.750105
Epoch 1 | Batch 430/2400 | Loss 3.748879
Epoch 1 | Batch 440/2400 | Loss 3.747878
Epoch 1 | Batch 450/2400 | Loss 3.746996
Epoch 1 | Batch 460/2400 | Loss 3.745990
Epoch 1 | Batch 470/2400 | Loss 3.743796
Epoch 1 | Batch 480/2400 | Loss 3.742987
Epoch 1 | Batch 490/2400 | Loss 3.741595
Epoch 1 | Batch 500/2400 | Loss 3.740996
Epoch 1 | Batch 510/2400 | Loss 3.739737
Epoch 1 | Batch 520/2400 | Loss 3.738159
Epoch 1 | Batch 530/2400 | Loss 3.738374
Epoch 1 | Batch 540/2400 | Loss 3.736124
Epoch 1 | Batch 550/2400 | Loss 3.736349
Epoch 1 | Batch 560/2400 | Loss 3.735921
Epoch 1 | Batch 570/2400 | Loss 3.735489
Epoch 1 | Batch 580/2400 | Loss 3.735351
Epoch 1 | Batch 590/2400 | Loss 3.735509
Epoch 1 | Batch 600/2400 | Loss 3.734307
Epoch 1 | Batch 610/2400 | Loss 3.733414
Epoch 1 | Batch 620/2400 | Loss 3.733982
Epoch 1 | Batch 630/2400 | Loss 3.732887
Epoch 1 | Batch 640/2400 | Loss 3.732344
Epoch 1 | Batch 650/2400 | Loss 3.732389
Epoch 1 | Batch 660/2400 | Loss 3.731267
Epoch 1 | Batch 670/2400 | Loss 3.730384
Epoch 1 | Batch 680/2400 | Loss 3.729781
Epoch 1 | Batch 690/2400 | Loss 3.728339
Epoch 1 | Batch 700/2400 | Loss 3.728140
Epoch 1 | Batch 710/2400 | Loss 3.728096
Epoch 1 | Batch 720/2400 | Loss 3.726846
Epoch 1 | Batch 730/2400 | Loss 3.727287
Epoch 1 | Batch 740/2400 | Loss 3.726258
Epoch 1 | Batch 750/2400 | Loss 3.725383
Epoch 1 | Batch 760/2400 | Loss 3.725408
Epoch 1 | Batch 770/2400 | Loss 3.724835
Epoch 1 | Batch 780/2400 | Loss 3.722396
Epoch 1 | Batch 790/2400 | Loss 3.721906
Epoch 1 | Batch 800/2400 | Loss 3.720094
Epoch 1 | Batch 810/2400 | Loss 3.719172
Epoch 1 | Batch 820/2400 | Loss 3.718314
Epoch 1 | Batch 830/2400 | Loss 3.716921
Epoch 1 | Batch 840/2400 | Loss 3.716787
Epoch 1 | Batch 850/2400 | Loss 3.715103
Epoch 1 | Batch 860/2400 | Loss 3.713818
Epoch 1 | Batch 870/2400 | Loss 3.712693
Epoch 1 | Batch 880/2400 | Loss 3.711228
Epoch 1 | Batch 890/2400 | Loss 3.709990
Epoch 1 | Batch 900/2400 | Loss 3.709801
Epoch 1 | Batch 910/2400 | Loss 3.708526
Epoch 1 | Batch 920/2400 | Loss 3.707756
Epoch 1 | Batch 930/2400 | Loss 3.707460
Epoch 1 | Batch 940/2400 | Loss 3.706612
Epoch 1 | Batch 950/2400 | Loss 3.705732
Epoch 1 | Batch 960/2400 | Loss 3.704907
